"","date","CO2","sd"
"1",2017-01-02,3.90846,0.2114
"2",2017-01-02,3.3091,0.3095
"3",2017-01-02,3.37626,0.1068
"4",2017-01-02,3.23441,0.1639
"5",2017-01-02,2.91124,0.1939
"6",2017-01-02,2.90137,0.1353
"7",2017-01-02,2.82363,0.1048
"8",2017-01-02,2.75541,0.0766
"9",2017-01-02,2.51042,0.0469
"10",2017-01-02,2.27791,0.062
"11",2017-01-02,2.06854,0.0462
"12",2017-01-02,1.91242,0.0472
"13",2017-01-02,1.77857,0.0282
"14",2017-01-02,1.72277,0.0127
"15",2017-01-02,1.69825,0.004
"16",2017-01-02,1.72619,0.016
"17",2017-01-02,1.98207,0.1264
"18",2017-01-02,2.33997,0.3062
"19",2017-01-02,3.79426,0.4546
"20",2017-01-02,4.55601,0.1371
"21",2017-01-02,4.4529,0.2124
"22",2017-01-02,4.35399,0.0698
"23",2017-01-02,4.25704,0.0591
"24",2017-01-02,4.25778,0.0803
"25",2017-01-03,3.95019,0.1166
"26",2017-01-03,3.49644,0.1276
"27",2017-01-03,3.49672,0.0719
"28",2017-01-03,3.52626,0.1451
"29",2017-01-03,3.2931,0.0671
"30",2017-01-03,3.33033,0.0756
"31",2017-01-03,3.27738,0.0375
"32",2017-01-03,3.17715,0.0476
"33",2017-01-03,3.09634,0.1136
"34",2017-01-03,2.85997,0.0703
"35",2017-01-03,2.61801,0.0388
"36",2017-01-03,2.50532,0.0339
"37",2017-01-03,2.36268,0.0621
"38",2017-01-03,2.24783,0.0191
"39",2017-01-03,2.16863,0.0251
"40",2017-01-03,2.08712,0.0227
"41",2017-01-03,2.10751,0.0695
"42",2017-01-03,2.12721,0.0362
"43",2017-01-03,2.28728,0.1206
"44",2017-01-03,2.55399,0.0809
"45",2017-01-03,2.7525,0.2544
"46",2017-01-03,2.833,0.2521
"47",2017-01-03,2.8342,0.2822
"48",2017-01-03,2.57772,0.0589
"49",2017-01-04,NA,NA
"50",2017-01-04,2.45293,0.0935
"51",2017-01-04,2.40562,0.1293
"52",2017-01-04,2.39884,0.0655
"53",2017-01-04,2.30752,0.0322
"54",2017-01-04,2.27257,0.019
"55",2017-01-04,2.29503,0.0169
"56",2017-01-04,2.29382,0.0141
"57",2017-01-04,2.32148,0.0232
"58",2017-01-04,2.2535,0.0237
"59",2017-01-04,2.19002,0.0325
"60",2017-01-04,2.02599,0.0334
"61",2017-01-04,1.91043,0.0351
"62",2017-01-04,1.83332,0.0154
"63",2017-01-04,2.1276,0.2554
"64",2017-01-04,2.87926,0.1318
"65",2017-01-04,3.03676,0.0963
"66",2017-01-04,3.40557,0.0529
"67",2017-01-04,3.52205,0.06
"68",2017-01-04,3.56053,0.0706
"69",2017-01-04,3.6551,0.1955
"70",2017-01-04,4.32876,0.1708
"71",2017-01-04,4.88614,0.1382
"72",2017-01-04,5.0001,0
"73",2017-01-04,4.99377,0.0183
"74",2017-01-05,5.00008,0
"75",2017-01-05,5.00006,0
"76",2017-01-05,5.00006,0
"77",2017-01-05,5.00006,0
"78",2017-01-05,5.00005,0
"79",2017-01-05,5.00004,0
"80",2017-01-05,4.95806,0.0507
"81",2017-01-05,4.99943,0.0023
"82",2017-01-05,4.979,0.0183
"83",2017-01-05,4.99177,0.0123
"84",2017-01-05,4.98145,0.0177
"85",2017-01-05,4.62006,0.1921
"86",2017-01-05,4.41783,0.0835
"87",2017-01-05,4.30195,0.0662
"88",2017-01-05,4.01948,0.045
"89",2017-01-05,4.00215,0.0253
"90",2017-01-05,3.91666,0.0215
"91",2017-01-05,3.93933,0.0253
"92",2017-01-05,3.89372,0.047
"93",2017-01-05,3.80359,0.0546
"94",2017-01-05,3.83525,0.0916
