"","inform","simil","vocab","compreh","digspan","arith","piccomp","block","matrixreason","symbolsearch","digsym","lnseq"
"1",31,23,63,27,20,18,18,50,21,38,57,15
"2",15,20,44,21,13,12,13,29,17,24,56,12
"3",13,22,40,28,14,13,13,28,16,25,72,13
"4",13,21,51,21,22,13,16,36,14,27,67,18
"5",22,21,55,28,17,10,13,22,13,27,60,15
"6",25,22,61,27,20,20,18,59,18,38,78,16
"7",20,25,45,23,13,16,16,33,14,31,60,12
"8",18,25,61,28,22,14,22,43,18,42,45,30
"9",21,22,57,27,14,16,16,40,13,34,40,19
"10",22,25,56,22,15,10,16,31,13,29,57,16
"11",16,25,62,28,15,13,20,35,21,37,63,23
"12",23,24,53,30,26,21,19,59,16,40,87,16
"13",17,18,44,27,15,11,15,45,11,33,73,12
"14",19,23,48,27,20,13,15,58,15,36,54,21
"15",20,28,56,24,19,18,15,34,15,34,65,11
"16",23,22,49,23,21,16,14,42,19,34,80,14
"17",20,20,56,21,20,12,11,30,16,29,81,15
"18",19,20,60,25,18,8,14,33,12,31,67,15
"19",12,18,49,31,15,8,13,28,13,32,81,22
"20",20,19,58,23,22,15,15,35,14,30,73,18
"21",22,17,55,24,20,13,18,38,13,30,60,12
"22",11,20,54,24,21,13,17,35,17,29,73,16
"23",15,21,52,28,12,12,13,36,12,29,75,16
"24",18,23,55,23,20,12,13,32,17,30,48,14
"25",19,28,69,29,28,13,16,40,17,32,67,10
"26",22,27,60,29,25,15,17,25,15,31,80,13
"27",32,25,69,32,16,13,17,36,17,28,69,12
"28",16,21,50,26,22,15,17,42,19,31,54,17
"29",16,21,56,22,24,18,19,43,17,36,54,13
"30",27,23,61,25,22,15,17,46,19,38,76,16
"31",18,28,54,23,17,13,19,44,21,33,82,11
"32",21,24,61,29,15,11,15,32,19,34,66,9
"33",20,23,57,22,15,15,17,34,14,35,87,12
"34",20,21,51,25,22,16,18,47,18,31,75,21
"35",26,27,63,31,18,15,19,42,15,40,88,16
"36",14,25,55,24,20,12,15,34,15,27,47,12
"37",28,26,66,27,15,13,20,41,13,31,84,17
"38",21,30,61,30,17,13,19,51,14,37,56,16
"39",19,20,49,23,18,11,13,29,18,36,71,22
"40",23,20,55,22,24,14,16,40,15,35,77,14
"41",15,20,47,24,15,13,14,39,12,26,73,17
"42",16,17,49,26,20,17,20,43,18,30,78,23
"43",19,27,65,33,16,14,19,48,25,40,87,20
"44",16,26,50,26,12,11,15,50,16,44,71,14
"45",26,24,61,29,22,13,16,42,20,39,64,17
"46",27,30,77,27,27,17,20,51,20,34,66,11
"47",20,25,56,25,19,16,14,35,17,27,64,16
"48",18,22,61,24,21,11,19,36,15,36,58,14
"49",15,24,38,26,13,11,18,41,18,38,71,21
"50",13,18,49,28,24,12,17,44,12,33,65,18
"51",18,24,53,28,24,17,15,31,19,35,57,15
"52",19,24,60,26,23,14,19,29,17,26,62,20
"53",23,28,63,26,21,13,19,44,15,34,53,14
"54",22,22,56,25,24,10,19,49,15,39,65,16
"55",14,21,56,30,12,4,14,27,16,30,73,13
"56",19,22,58,29,18,19,18,45,16,39,67,19
"57",22,21,49,20,18,11,15,39,17,35,66,14
"58",18,27,55,29,19,7,17,32,14,30,52,19
"59",14,16,34,20,19,8,17,36,12,34,74,15
"60",21,21,55,30,21,14,20,36,21,37,100,16
"61",25,18,55,23,14,12,18,30,18,31,70,11
"62",17,23,56,28,20,18,17,43,19,33,73,14
"63",16,25,48,24,15,10,14,38,16,29,58,16
"64",21,21,53,21,15,14,16,47,17,39,66,11
"65",20,21,59,24,19,13,16,46,13,37,71,22
"66",26,24,61,23,22,17,16,56,20,40,66,15
"67",19,21,53,26,19,15,20,43,17,33,94,15
"68",23,25,63,27,24,15,22,50,15,38,86,21
"69",17,21,51,28,16,13,17,36,14,38,70,13
"70",15,21,56,23,17,14,16,40,18,31,69,16
"71",23,23,61,22,17,9,17,29,15,31,62,12
"72",23,23,53,28,13,10,15,38,13,34,42,19
"73",19,25,54,24,13,15,15,41,16,37,47,18
