Atlanta,Chicago,Connecticut,Dallas,Indiana,Los Angeles,Minnesota,New York,Phoenix,San Antonio,Seattle,Washington,WNBA
33,-4,-2,-3,-3,-3,-3,-3,-3,-3,-3,-3,-1
-4,33,-3,-3,-3,-3,-2,-3,-3,-3,-3,-3,-1
-2,-3,34,-3,-3,-3,-3,-4,-4,-3,-3,-3,-1
-3,-3,-3,34,-3,-4,-3,-3,-2,-3,-3,-4,-1
-3,-3,-3,-3,33,-3,-3,-3,-3,-3,-2,-4,-1
-3,-3,-3,-4,-3,41,-8,-3,-6,-3,-2,-3,-1
-3,-2,-3,-3,-3,-8,41,-3,-4,-3,-3,-6,-1
-3,-3,-4,-3,-3,-3,-3,34,-3,-2,-3,-4,-1
-3,-3,-4,-2,-3,-6,-4,-3,38,-3,-4,-3,-1
-3,-3,-3,-3,-3,-3,-3,-2,-3,32,-4,-2,-1
-3,-3,-3,-3,-2,-2,-3,-3,-4,-4,33,-3,-1
-3,-3,-3,-4,-4,-3,-6,-4,-3,-2,-3,38,-1
1,1,1,1,1,1,1,1,1,1,1,1,1
