k,cluster,var
2,1,y
2,1,x_001
2,1,x_002
2,1,x_003
2,1,x_004
2,1,x_005
2,1,x_006
2,1,x_007
2,1,x_008
2,1,x_009
2,1,x_010
2,1,x_011
2,1,x_012
2,1,x_013
2,1,x_014
2,1,x_015
2,1,x_016
2,1,x_017
2,1,x_018
2,1,x_019
2,1,x_020
2,1,x_021
2,1,x_022
2,1,x_023
2,1,x_024
2,1,x_025
2,1,x_026
2,1,x_027
2,1,x_028
2,1,x_029
2,1,x_030
2,1,x_031
2,1,x_032
2,1,x_033
2,1,x_034
2,1,x_035
2,1,x_036
2,1,x_037
2,1,x_038
2,1,x_039
2,1,x_040
2,1,x_041
2,1,x_042
2,1,x_043
2,1,x_044
2,2,x_045
2,1,x_046
2,1,x_047
2,1,x_048
2,1,x_049
2,1,x_050
2,1,x_051
2,1,x_052
2,1,x_053
2,1,x_054
2,1,x_055
2,1,x_056
2,1,x_057
2,1,x_058
2,2,x_059
2,1,x_060
2,1,x_061
2,1,x_062
2,1,x_063
2,1,x_064
2,1,x_065
2,1,x_066
2,1,x_067
2,1,x_068
2,1,x_069
2,1,x_070
2,1,x_071
2,1,x_072
2,1,x_073
2,1,x_074
2,1,x_075
2,1,x_076
2,1,x_077
2,2,x_078
2,1,x_079
2,1,x_080
2,1,x_081
2,1,x_082
2,1,x_083
2,1,x_084
2,1,x_085
2,1,x_086
2,1,x_087
2,1,x_088
2,1,x_089
2,1,x_090
2,1,x_091
2,1,x_092
2,1,x_093
2,1,x_094
2,1,x_095
2,1,x_096
2,1,x_097
2,1,x_098
2,1,x_099
2,1,x_100
2,1,x_101
2,1,x_102
2,1,x_103
2,1,x_104
2,1,x_105
2,1,x_106
2,1,x_107
2,1,x_108
2,1,x_109
2,1,x_110
2,1,x_111
2,1,x_112
2,1,x_113
2,1,x_114
2,1,x_115
2,1,x_116
2,1,x_117
2,1,x_118
2,1,x_119
2,1,x_120
2,1,x_121
2,1,x_122
2,1,x_123
2,1,x_124
2,2,x_125
2,1,x_126
2,1,x_127
2,1,x_128
2,1,x_129
2,1,x_130
2,1,x_131
2,1,x_132
2,1,x_133
2,1,x_134
2,1,x_135
2,1,x_136
2,1,x_137
2,1,x_138
2,1,x_139
2,1,x_140
2,1,x_141
2,1,x_142
2,1,x_143
2,1,x_144
2,1,x_145
2,1,x_146
2,1,x_147
2,1,x_148
2,1,x_149
2,1,x_150
2,1,x_151
2,1,x_152
2,1,x_153
2,1,x_154
2,1,x_155
2,1,x_156
2,1,x_157
2,1,x_158
2,1,x_159
2,1,x_160
2,1,x_161
2,1,x_162
2,1,x_163
2,1,x_164
2,1,x_165
2,1,x_166
2,1,x_167
2,1,x_168
2,1,x_169
2,1,x_170
2,1,x_171
2,1,x_172
2,1,x_173
2,1,x_174
2,1,x_175
2,1,x_176
2,1,x_177
2,1,x_178
2,1,x_179
2,1,x_180
2,1,x_181
2,1,x_182
2,1,x_183
2,1,x_184
2,1,x_185
2,1,x_186
2,1,x_187
2,1,x_188
2,1,x_189
2,1,x_190
2,1,x_191
2,1,x_192
2,1,x_193
2,1,x_194
2,1,x_195
2,1,x_196
2,1,x_197
2,1,x_198
2,1,x_199
3,1,y
3,1,x_001
3,1,x_002
3,1,x_003
3,1,x_004
3,1,x_005
3,1,x_006
3,1,x_007
3,1,x_008
3,1,x_009
3,1,x_010
3,1,x_011
3,1,x_012
3,1,x_013
3,1,x_014
3,1,x_015
3,1,x_016
3,1,x_017
3,1,x_018
3,1,x_019
3,1,x_020
3,1,x_021
3,1,x_022
3,1,x_023
3,1,x_024
3,1,x_025
3,1,x_026
3,1,x_027
3,1,x_028
3,1,x_029
3,1,x_030
3,1,x_031
3,1,x_032
3,1,x_033
3,1,x_034
3,1,x_035
3,1,x_036
3,1,x_037
3,1,x_038
3,1,x_039
3,1,x_040
3,1,x_041
3,1,x_042
3,1,x_043
3,1,x_044
3,2,x_045
3,3,x_046
3,1,x_047
3,1,x_048
3,1,x_049
3,1,x_050
3,1,x_051
3,1,x_052
3,1,x_053
3,1,x_054
3,1,x_055
3,1,x_056
3,1,x_057
3,1,x_058
3,2,x_059
3,3,x_060
3,1,x_061
3,1,x_062
3,1,x_063
3,1,x_064
3,1,x_065
3,1,x_066
3,1,x_067
3,1,x_068
3,1,x_069
3,1,x_070
3,1,x_071
3,1,x_072
3,1,x_073
3,1,x_074
3,1,x_075
3,1,x_076
3,1,x_077
3,2,x_078
3,3,x_079
3,1,x_080
3,1,x_081
3,1,x_082
3,1,x_083
3,1,x_084
3,3,x_085
3,3,x_086
3,3,x_087
3,1,x_088
3,1,x_089
3,1,x_090
3,1,x_091
3,1,x_092
3,1,x_093
3,1,x_094
3,1,x_095
3,1,x_096
3,1,x_097
3,1,x_098
3,1,x_099
3,1,x_100
3,1,x_101
3,1,x_102
3,1,x_103
3,1,x_104
3,1,x_105
3,1,x_106
3,1,x_107
3,1,x_108
3,1,x_109
3,1,x_110
3,1,x_111
3,1,x_112
3,1,x_113
3,1,x_114
3,1,x_115
3,1,x_116
3,1,x_117
3,1,x_118
3,1,x_119
3,1,x_120
3,1,x_121
3,1,x_122
3,1,x_123
3,1,x_124
3,2,x_125
3,3,x_126
3,1,x_127
3,1,x_128
3,1,x_129
3,1,x_130
3,1,x_131
3,1,x_132
3,1,x_133
3,1,x_134
3,1,x_135
3,1,x_136
3,1,x_137
3,1,x_138
3,1,x_139
3,1,x_140
3,1,x_141
3,1,x_142
3,1,x_143
3,1,x_144
3,1,x_145
3,1,x_146
3,1,x_147
3,1,x_148
3,1,x_149
3,1,x_150
3,1,x_151
3,1,x_152
3,1,x_153
3,1,x_154
3,1,x_155
3,1,x_156
3,1,x_157
3,1,x_158
3,1,x_159
3,1,x_160
3,1,x_161
3,1,x_162
3,1,x_163
3,1,x_164
3,1,x_165
3,1,x_166
3,1,x_167
3,1,x_168
3,1,x_169
3,1,x_170
3,1,x_171
3,1,x_172
3,1,x_173
3,1,x_174
3,1,x_175
3,1,x_176
3,1,x_177
3,1,x_178
3,1,x_179
3,1,x_180
3,1,x_181
3,1,x_182
3,1,x_183
3,1,x_184
3,1,x_185
3,1,x_186
3,1,x_187
3,1,x_188
3,1,x_189
3,1,x_190
3,1,x_191
3,1,x_192
3,1,x_193
3,1,x_194
3,1,x_195
3,1,x_196
3,1,x_197
3,1,x_198
3,1,x_199
4,1,y
