code,hclus_tag
stock100010,1
stock100014,2
stock100015,2
stock100020,1
stock100022,1
stock100030,2
stock100032,1
stock100039,1
stock100042,1
stock100044,3
stock100045,3
stock100047,1
stock100050,3
stock100051,1
stock100052,1
stock100054,3
stock100055,1
stock100062,1
stock100069,2
stock100071,2
stock100077,1
stock100078,4
stock100083,1
stock100086,1
stock100098,1
stock100099,2
stock100100,2
stock100101,2
stock100103,1
stock100104,1
stock100107,1
stock100109,1
stock100110,1
stock100111,1
stock100123,5
stock100126,1
stock100132,1
stock100139,4
stock100146,1
stock100147,4
stock100148,1
stock100152,3
stock100154,1
stock100163,5
stock100167,1
stock100168,3
stock100176,4
stock100194,4
stock100197,1
stock100199,1
stock100213,1
stock100215,1
stock100217,1
stock100221,1
stock100224,5
stock100232,3
stock100234,1
stock100239,1
stock100256,1
stock100257,2
stock100262,1
stock100265,4
stock100272,5
stock100291,4
stock100299,4
stock100301,1
stock100302,3
stock100306,2
stock100307,2
stock100312,2
stock100318,1
stock100319,1
stock100321,5
stock100326,1
stock100331,1
stock100332,2
stock100335,4
stock100337,5
stock100338,1
stock100343,5
stock100346,1
stock100347,1
stock100355,1
stock100360,5
stock100363,2
stock100364,1
stock100369,2
stock100370,1
stock100372,2
stock100373,1
stock100375,1
stock100384,1
stock100390,2
stock100393,3
stock100395,3
stock100406,1
stock100409,5
stock100412,2
stock100425,1
stock100432,2
stock100439,1
stock100446,1
stock100452,1
stock100460,2
stock100462,1
stock100469,1
stock100476,1
stock100477,2
stock100484,1
stock100496,1
stock100497,1
stock100498,1
stock100503,1
stock100506,2
stock100508,1
stock100523,4
stock100528,1
stock100532,1
stock100535,1
stock100541,5
stock100544,1
stock100548,4
stock100549,1
stock100553,4
stock100556,1
stock100557,2
stock100560,2
stock100561,3
stock100564,1
stock100566,1
stock100572,1
stock100574,1
stock100575,1
stock100578,3
stock100583,1
stock100591,1
stock100594,1
stock100603,1
stock100606,2
stock100607,3
stock100609,2
stock100616,4
stock100619,1
stock100622,1
stock100625,3
stock100630,4
stock100634,2
stock100635,4
stock100639,5
stock100643,1
stock100650,1
stock100654,1
stock100656,1
stock100658,3
stock100661,1
stock100675,2
stock100678,1
stock100681,3
stock100682,4
stock100683,1
stock100688,1
stock100690,3
stock100694,1
stock100699,2
stock100704,1
stock100705,5
stock100707,1
stock100711,1
stock100712,3
stock100714,1
stock100716,1
stock100725,2
stock100729,5
stock100731,1
stock100735,2
stock100744,1
stock100757,1
stock100758,2
stock100760,4
stock100765,3
stock100779,1
stock100782,1
stock100785,2
stock100788,2
stock100794,2
stock100798,3
stock100799,1
stock100802,1
stock100805,2
stock100815,1
stock100819,4
stock100824,1
stock100826,3
stock100831,1
stock100833,2
stock100838,2
stock100844,1
stock100851,3
stock100857,1
stock100860,1
stock100870,1
