"enterprise","record_number","msa","perc_minority","tract_income_ratio","borrower_income_ratio","loan_purpose","federal_guarantee","borrower_race","co_borrower_race","borrower_gender","co_borrower_gender","num_units","affordability","year","type"
1,566,1,1,3,1,2,4,3,9,2,4,1,3,2010,1
1,116,1,3,2,1,2,4,5,9,1,4,1,3,2008,1
1,239,1,2,2,3,8,4,5,5,1,2,1,4,2014,0
1,62,1,2,3,3,2,4,5,9,2,4,1,4,2009,1
1,106,1,2,3,3,2,4,9,9,3,4,1,4,2013,1
1,759,1,3,3,2,2,4,9,9,1,2,2,4,2010,1
1,689,1,1,3,3,8,4,5,9,1,4,1,4,2010,0
1,886,1,2,2,3,8,4,5,5,1,2,1,4,2008,0
1,953,1,3,3,3,2,4,2,9,2,4,1,4,2013,1
1,559,1,2,3,3,8,4,2,2,1,2,1,4,2010,0
1,84,1,3,2,3,2,4,9,7,1,1,1,4,2011,1
1,439,1,2,1,1,8,4,5,9,2,4,1,2,2014,0
2,54,1,2,3,1,1,4,5,9,2,5,1,3,2009,1
1,711,0,2,2,3,1,4,5,9,1,4,1,4,2012,0
2,397,1,2,3,3,8,4,9,9,3,3,1,9,2008,0
2,163,1,3,2,3,8,4,9,9,1,5,1,4,2012,0
1,832,1,2,3,2,8,4,5,5,1,2,1,4,2008,0
1,985,1,2,2,3,8,4,5,9,2,4,1,4,2008,0
2,164,1,3,1,1,2,4,7,9,1,5,2,2,2013,1
1,240,1,3,2,3,1,4,9,9,3,4,1,4,2011,0
1,14,1,3,2,1,2,4,9,9,3,4,1,3,2010,1
1,925,1,2,1,3,8,4,5,5,1,2,1,4,2013,0
1,315,1,3,3,3,8,4,5,9,1,4,1,4,2010,0
2,807,1,2,3,3,1,4,5,5,1,2,1,4,2010,1
2,718,1,3,3,2,8,4,5,5,1,2,1,9,2009,0
2,202,1,2,2,3,2,4,3,3,1,2,1,4,2012,1
1,413,1,3,1,3,2,4,9,9,3,3,1,4,2010,1
1,619,0,1,3,1,9,3,5,9,2,4,1,3,2008,1
1,96,1,1,3,3,8,4,5,5,1,2,1,4,2010,0
2,380,1,2,3,3,1,4,5,5,1,2,1,4,2012,1
1,224,1,1,2,2,8,4,5,9,1,4,1,4,2009,0
1,490,1,1,2,2,8,4,5,9,1,4,1,4,2012,0
1,33,1,2,3,3,8,4,5,5,1,2,1,4,2012,0
