code,group
stock100000,1
stock100001,3
stock100003,1
stock100008,3
stock100009,1
stock100016,3
stock100026,1
stock100028,2
stock100034,2
stock100035,2
stock100036,3
stock100040,3
stock100041,2
stock100043,3
stock100046,2
stock100053,3
stock100057,2
stock100058,3
stock100061,3
stock100065,1
stock100066,1
stock100067,3
stock100068,3
stock100070,1
stock100075,1
stock100082,3
stock100087,1
stock100088,1
stock100090,1
stock100095,1
stock100096,3
stock100108,3
stock100112,2
stock100119,1
stock100122,3
stock100131,2
stock100135,2
stock100138,2
stock100142,1
stock100144,3
stock100145,3
stock100150,3
stock100155,2
stock100156,3
stock100159,2
stock100165,1
stock100169,1
stock100170,2
stock100171,3
stock100174,1
stock100178,2
stock100185,3
stock100192,1
stock100196,3
stock100198,3
stock100209,2
stock100214,3
stock100222,3
stock100225,1
stock100229,3
stock100230,3
stock100233,1
stock100235,1
stock100240,3
stock100245,3
stock100247,1
stock100248,2
stock100255,3
stock100261,3
stock100264,1
stock100269,3
stock100273,3
stock100276,2
stock100278,3
stock100284,1
stock100287,3
stock100293,1
stock100294,3
stock100300,1
stock100303,2
stock100304,1
stock100305,1
stock100310,1
stock100316,3
stock100320,1
stock100325,3
stock100330,3
stock100333,2
stock100336,3
stock100339,3
stock100341,2
stock100342,2
stock100344,2
stock100350,3
stock100352,2
stock100354,2
stock100356,3
stock100361,3
stock100371,1
stock100378,2
stock100379,3
stock100381,1
stock100385,3
stock100386,2
stock100387,1
stock100389,3
stock100397,1
stock100402,3
stock100405,1
stock100416,1
stock100418,2
stock100429,1
stock100431,1
stock100433,3
stock100434,1
stock100437,1
stock100438,2
stock100440,2
stock100442,3
stock100449,3
stock100450,3
stock100453,2
stock100454,1
stock100458,1
stock100461,1
stock100467,3
stock100473,3
stock100474,2
stock100478,1
stock100481,2
stock100488,3
stock100492,1
stock100494,3
stock100502,3
stock100504,1
stock100505,2
stock100510,1
stock100512,1
stock100516,3
stock100520,2
stock100522,1
stock100526,3
stock100530,1
stock100534,1
stock100536,3
stock100537,3
stock100538,1
stock100539,3
stock100542,2
stock100555,2
stock100559,1
stock100562,1
stock100563,3
stock100568,3
stock100571,2
stock100576,2
stock100587,2
stock100593,2
stock100600,1
stock100602,3
stock100605,3
stock100610,1
stock100612,1
stock100614,1
stock100618,3
stock100621,3
stock100623,2
stock100632,1
stock100633,2
stock100638,3
stock100645,3
stock100646,1
stock100647,3
stock100648,3
stock100659,3
stock100664,3
stock100666,2
stock100667,1
stock100668,1
stock100670,2
stock100671,3
stock100672,2
stock100673,3
stock100674,2
stock100677,3
stock100679,2
stock100686,3
stock100693,3
stock100715,2
stock100719,2
stock100720,3
stock100730,1
stock100733,3
stock100739,1
stock100748,1
stock100749,1
stock100751,3
stock100752,2
stock100761,1
stock100768,2
stock100774,1
stock100777,1
stock100790,2
stock100793,1
stock100797,1
stock100800,2
stock100801,1
stock100804,1
stock100808,2
stock100812,2
stock100827,1
stock100832,1
stock100834,2
stock100835,1
stock100846,2
stock100849,3
stock100852,2
stock100865,3
stock100868,1
stock100869,1
stock100871,1
stock100876,1
stock100883,3
stock100884,2
stock100887,3
stock100891,2
stock100892,3
stock100893,1
stock100901,2
stock100905,3
stock100909,1
stock100916,2
stock100920,2
stock100923,1
stock100931,1
stock100933,2
stock100946,2
stock100951,2
stock100956,3
stock100957,3
stock100965,1
stock100967,3
stock100970,2
stock100971,2
stock100973,1
stock100975,1
stock100985,3
stock100987,3
stock100991,2
stock100996,3
stock101007,2
stock101012,1
stock101013,2
stock101014,1
stock101019,2
stock101020,1
stock101021,2
stock101022,1
stock101023,1
stock101027,1
stock101030,2
stock101031,2
stock101037,2
stock101050,1
stock101051,2
stock101054,2
stock101064,2
stock101065,3
stock101068,3
stock101072,3
stock101079,2
stock101084,2
stock101096,2
stock101097,2
stock101111,2
stock101120,2
stock101125,3
stock101131,1
stock101135,2
stock101138,1
stock101139,1
stock101145,2
stock101146,1
stock101150,2
stock101152,1
stock101157,1
stock101160,2
stock101163,2
stock101174,2
stock101179,2
stock101188,3
stock101189,1
stock101190,3
stock101192,1
stock101193,3
stock101198,3
stock101199,1
stock101203,2
stock101204,2
stock101206,2
stock101207,1
stock101213,3
stock101214,1
stock101215,1
stock101218,3
stock101219,3
stock101224,1
stock101230,2
stock101233,3
stock101234,2
stock101242,2
stock101245,1
stock101247,3
stock101253,3
stock101257,3
stock101269,2
stock101280,2
stock101282,1
stock101283,3
stock101288,1
stock101294,2
stock101299,1
stock101300,2
stock101302,1
stock101306,3
stock101307,3
stock101310,3
stock101323,2
stock101330,3
stock101331,1
stock101334,1
stock101341,2
stock101342,3
stock101351,1
stock101353,2
stock101355,2
stock101360,1
stock101361,3
stock101363,1
stock101366,3
stock101368,3
stock101371,2
stock101372,1
stock101374,2
stock101376,2
stock101382,1
stock101389,2
stock101393,3
stock101403,2
stock101422,3
stock101423,3
stock101424,1
stock101425,1
stock101433,2
stock101438,3
stock101443,1
stock101445,2
stock101448,1
stock101449,3
stock101451,1
stock101455,1
stock101456,1
stock101467,1
stock101476,1
stock101479,3
stock101481,1
stock101483,2
stock101500,3
stock101501,3
stock101502,1
stock101504,2
stock101509,1
stock101512,2
stock101513,2
stock101519,2
stock101521,2
stock101527,3
stock101530,1
stock101531,3
stock101540,1
stock101543,2
stock101546,3
stock101552,3
stock101556,2
stock101570,3
stock101578,3
stock101579,2
stock101580,2
stock101585,2
stock101588,3
stock101590,3
stock101596,2
stock101600,3
stock101604,1
stock101605,1
stock101606,1
stock101608,2
stock101617,3
stock101623,2
stock101637,3
stock101643,3
stock101645,1
stock101653,3
stock101658,2
stock101661,2
stock101668,1
stock101669,3
stock101677,2
stock101679,1
stock101682,1
stock101684,1
stock101691,2
stock101692,2
stock101696,1
stock101697,1
stock101700,3
stock101704,2
stock101705,2
stock101711,2
stock101715,3
stock101719,3
stock101723,2
stock101724,3
stock101751,1
stock101755,3
stock101759,2
stock101764,3
stock101773,2
stock101779,3
stock101782,3
stock101783,3
stock101792,1
stock101793,3
stock101796,2
stock101801,1
stock101804,1
stock101806,2
stock101809,1
stock101821,2
stock101826,1
stock101828,3
stock101831,2
stock101834,2
stock101837,3
stock101841,2
stock101843,1
stock101845,3
stock101847,2
stock101850,3
stock101852,1
stock101854,3
stock101858,1
stock101860,3
stock101862,2
stock101867,1
stock101871,2
stock101889,3
stock101893,3
stock101895,1
stock101896,1
stock101902,3
stock101907,3
stock101908,1
stock101910,3
stock101913,3
stock101918,2
stock101920,2
stock101924,2
stock101931,2
stock101940,1
stock101948,2
stock101951,2
stock101972,2
stock101976,1
stock101981,1
stock101992,1
stock101999,3
stock102001,3
stock102003,2
stock102007,1
stock102009,3
stock102015,2
stock102020,3
stock102028,3
stock102029,1
stock102033,1
stock102050,2
stock102056,2
stock102064,3
stock102070,1
stock102088,2
stock102090,3
stock102091,1
stock102092,2
stock102094,2
stock102098,3
stock102102,1
stock102106,1
stock102107,1
stock102108,3
stock102109,2
stock102110,2
stock102115,2
stock102126,1
stock102128,1
stock102136,1
stock102140,1
stock102150,1
stock102151,3
stock102158,1
stock102166,3
stock102169,3
stock102174,2
stock102176,3
stock102177,1
stock102182,1
stock102183,3
stock102192,2
stock102196,2
stock102201,3
stock102203,3
stock102205,1
stock102215,1
stock102219,1
stock102220,2
stock102222,1
stock102223,2
stock102227,3
stock102241,1
stock102242,2
stock102250,2
stock102252,1
stock102253,3
stock102256,3
stock102259,2
stock102267,3
stock102268,1
stock102269,1
stock102271,2
stock102272,2
stock102274,2
stock102280,3
stock102281,1
stock102287,2
stock102300,3
stock102311,1
stock102312,3
stock102317,3
stock102320,1
stock102322,1
stock102323,2
stock102324,3
stock102331,3
stock102333,3
stock102334,2
stock102335,1
stock102349,2
stock102355,3
stock102366,2
stock102368,2
stock102375,1
stock102376,2
stock102381,2
stock102385,2
stock102394,3
stock102395,2
stock102396,1
stock102400,2
stock102406,3
stock102411,3
stock102427,1
stock102430,1
stock102439,3
stock102440,2
stock102443,1
stock102444,2
stock102446,1
stock102447,3
stock102452,1
stock102454,1
stock102456,2
stock102457,3
stock102459,1
stock102463,3
stock102464,3
stock102465,3
stock102468,2
stock102475,3
stock102479,3
stock102485,3
stock102490,1
stock102492,3
stock102497,2
stock102504,3
stock102512,2
stock102521,3
stock102530,1
stock102533,3
stock102536,3
stock102540,1
stock102542,1
stock102548,2
stock102556,2
stock102557,2
stock102560,1
stock102563,3
stock102571,1
stock102574,2
stock102576,1
stock102588,3
stock102594,2
stock102598,3
stock102599,2
stock102601,3
stock102603,2
stock102605,1
stock102606,2
stock102611,2
stock102612,1
stock102619,2
stock102621,1
stock102623,1
stock102627,2
stock102633,2
stock102634,2
stock102640,3
stock102641,2
stock102644,1
stock102651,2
stock102667,3
stock102672,3
stock102676,1
stock102681,1
stock102687,3
stock102695,3
stock102704,2
stock102710,1
stock102711,1
stock102712,2
stock102724,1
stock102728,1
stock102731,2
stock102734,2
stock102742,2
stock102748,1
stock102758,3
stock102762,1
stock102768,3
stock102769,3
stock102771,3
stock102772,1
stock102784,2
stock102788,3
stock102790,2
stock102791,3
stock102794,3
stock102796,3
stock102812,1
stock102819,1
stock102826,3
stock102834,2
stock102836,2
stock102837,2
stock102839,2
stock102841,3
stock102843,2
stock102845,1
stock102846,1
stock102853,1
stock102855,2
stock102856,2
stock102857,2
stock102865,2
stock102869,3
stock102877,2
stock102880,1
stock102881,1
stock102885,1
stock102887,2
stock102888,2
stock102899,1
stock102906,2
stock102910,2
stock102918,2
stock102919,1
stock102921,2
stock102925,3
stock102927,1
stock102934,1
stock102939,1
stock102941,3
stock102947,3
stock102955,1
stock102961,3
stock102964,3
stock102971,2
stock102973,3
stock102982,3
stock102987,3
stock102988,3
stock102990,3
stock102991,3
stock102994,1
stock102995,3
stock102997,2
stock102999,3
stock103013,2
stock103025,2
stock103032,3
stock103034,2
stock103035,2
stock103039,1
stock103041,1
stock103042,2
stock103043,2
stock103044,2
stock103045,3
stock103046,3
stock103064,3
stock103074,1
stock103077,3
stock103092,2
stock103094,3
stock103096,1
stock103097,1
stock103104,3
stock103109,1
stock103114,3
stock103116,3
stock103119,1
stock103120,1
stock103126,1
stock103127,1
stock103133,3
stock103136,2
stock103138,1
stock103143,1
stock103144,3
stock103149,2
stock103157,3
stock103163,3
stock103165,3
stock103167,2
stock103177,2
stock103180,2
stock103184,3
stock103205,3
stock103211,1
stock103223,1
stock103225,2
stock103226,1
stock103227,1
stock103243,1
stock103246,1
stock103254,2
stock103257,3
stock103260,2
stock103262,2
stock103266,3
stock103268,2
stock103313,1
stock103318,2
stock103327,1
stock103328,1
stock103338,3
stock103342,3
stock103350,3
stock103356,1
stock103357,1
stock103367,3
stock103374,3
stock103376,3
stock103382,3
stock103389,2
stock103394,2
stock103395,2
stock103398,2
stock103401,1
stock103404,1
stock103425,1
stock103431,2
stock103438,3
stock103439,2
stock103449,1
stock103455,2
stock103459,3
stock103466,3
stock103468,3
stock103469,1
stock103482,1
stock103488,3
stock103490,2
stock103496,1
stock103497,2
stock103498,2
stock103499,1
stock103505,1
stock103506,2
stock103508,1
stock103510,2
stock103524,2
stock103526,1
stock103529,2
stock103530,3
stock103532,3
stock103538,1
stock103539,1
stock103552,2
stock103554,2
stock103559,1
stock103566,2
stock103568,3
stock103569,2
stock103572,1
stock103574,2
stock103580,1
stock103581,1
stock103586,3
stock103587,2
stock103588,2
stock103589,3
stock103590,2
stock103591,2
stock103595,1
stock103597,1
stock103605,2
stock103609,3
