code,hclus_tag
stock100000,1
stock100001,2
stock100003,1
stock100008,3
stock100009,1
stock100016,1
stock100026,3
stock100028,4
stock100034,5
stock100035,1
stock100036,2
stock100040,2
stock100041,5
stock100043,5
stock100046,1
stock100053,1
stock100057,1
stock100058,4
stock100061,5
stock100065,4
stock100066,1
stock100067,1
stock100068,1
stock100070,1
stock100075,1
stock100082,1
stock100087,3
stock100088,5
stock100090,3
stock100095,1
stock100096,1
stock100108,1
stock100112,1
stock100119,1
stock100122,1
stock100131,5
stock100135,1
stock100138,1
stock100142,4
stock100144,5
stock100145,1
stock100150,1
stock100155,1
stock100156,1
stock100159,1
stock100165,1
stock100169,1
stock100170,1
stock100171,1
stock100174,4
stock100178,1
stock100185,1
stock100192,1
stock100196,1
stock100198,5
stock100209,5
stock100214,1
stock100222,1
stock100225,1
stock100229,1
stock100230,3
stock100233,1
stock100235,2
stock100240,1
stock100245,1
stock100247,1
stock100248,5
stock100255,4
stock100261,1
stock100264,1
stock100269,2
stock100273,1
stock100276,4
stock100278,2
stock100284,4
stock100287,2
stock100293,1
stock100294,5
stock100300,3
stock100303,5
stock100304,1
stock100305,1
stock100310,4
stock100316,3
stock100320,1
stock100325,3
stock100330,1
stock100333,1
stock100336,4
stock100339,1
stock100341,1
stock100342,2
stock100344,1
stock100350,1
stock100352,1
stock100354,1
stock100356,1
stock100361,1
stock100371,5
stock100378,5
stock100379,5
stock100381,5
stock100385,1
stock100386,1
stock100387,3
stock100389,1
stock100397,1
stock100402,3
stock100405,1
stock100416,1
stock100418,2
stock100429,1
stock100431,5
stock100433,5
stock100434,1
stock100437,1
stock100438,1
stock100440,1
stock100442,3
stock100449,1
stock100450,1
stock100453,1
stock100454,3
stock100458,5
stock100461,3
stock100467,2
stock100473,1
stock100474,5
stock100478,1
stock100481,1
stock100488,1
stock100492,3
stock100494,1
stock100502,1
stock100504,2
stock100505,1
stock100510,1
stock100512,2
stock100516,1
stock100520,4
stock100522,1
stock100526,1
stock100530,1
stock100534,1
stock100536,1
stock100537,3
stock100538,1
stock100539,2
stock100542,1
stock100555,5
stock100559,1
stock100562,1
stock100563,5
stock100568,1
stock100571,1
stock100576,3
stock100587,1
stock100593,1
stock100600,1
stock100602,1
stock100605,5
stock100610,1
stock100612,1
stock100614,1
stock100618,3
stock100621,1
stock100623,1
stock100632,1
stock100633,1
stock100638,3
stock100645,2
stock100646,1
stock100647,2
stock100648,3
stock100659,1
stock100664,1
stock100666,4
stock100667,1
stock100668,1
stock100670,4
stock100671,1
stock100672,1
stock100673,5
stock100674,1
stock100677,1
stock100679,1
stock100686,1
stock100693,1
stock100715,5
stock100719,1
stock100720,1
stock100730,1
stock100733,1
stock100739,4
stock100748,5
stock100749,1
stock100751,3
stock100752,5
stock100761,1
stock100768,1
stock100774,1
stock100777,2
stock100790,1
stock100793,1
stock100797,3
stock100800,5
stock100801,1
stock100804,5
stock100808,3
stock100812,1
stock100827,5
stock100832,3
stock100834,4
stock100835,1
