code,mean,sd,history_ensemble,mu_sigma_30,naive_30,naive_30_2.0,naive_30_3.0,naive_30_4.0,xgboost_30
stock103445,1.189259709939118,0.44213379281147724,1,NA,NA,NA,NA,NA,NA
stock101659,1.0356344349129925,0.3124692174600694,1,NA,NA,NA,NA,NA,NA
stock101444,1.0211068323802766,0.4539156937003426,1,NA,NA,NA,NA,NA,1
stock100215,1.003686964421771,0.535073017356625,1,NA,NA,NA,NA,NA,NA
stock101911,0.8765752674018317,0.4770008783194894,1,NA,NA,NA,NA,NA,NA
stock100916,0.8033667056859547,0.3759606393927767,NA,NA,1,1,1,1,NA
stock101439,0.7791889314125374,0.41670897584456834,1,NA,NA,NA,NA,NA,NA
stock102062,0.7518984781140519,0.22274316316412976,1,NA,NA,NA,NA,NA,NA
stock101232,0.7487596206149999,0.4937311885778406,1,NA,NA,NA,NA,NA,NA
stock103095,0.7406349214374638,0.596490405471523,1,NA,NA,NA,NA,NA,1
stock100460,0.7306237621594864,0.28392097286114365,1,NA,NA,NA,NA,NA,NA
stock100731,0.7282182761088561,0.2834383553516812,NA,NA,NA,NA,NA,NA,NA
stock100666,0.6558869482344395,0.16630835785069015,NA,NA,NA,NA,NA,NA,NA
stock103423,0.6350477264028749,0.29595879136730574,NA,NA,NA,NA,NA,NA,NA
stock101114,0.6335584730204231,0.22096099896774035,NA,NA,NA,NA,NA,NA,NA
stock102127,0.6278197641421946,0.4251302944226806,1,NA,NA,NA,NA,NA,1
stock103156,0.6074040803581054,0.34113215870918245,NA,NA,NA,NA,NA,NA,NA
stock100602,0.6057935003543347,0.22932435709639779,NA,NA,NA,1,NA,NA,NA
stock101650,0.6047220878871931,0.46296262094349605,NA,NA,NA,NA,NA,NA,1
stock100234,0.576152949251375,0.2572532918075111,1,NA,NA,NA,NA,NA,1
stock100674,0.5686497517055603,0.2833134279013549,NA,NA,1,NA,1,1,NA
stock100932,0.5657026332745558,0.1490754463702368,NA,NA,NA,NA,NA,NA,NA
stock100920,0.5578540116195864,0.2540773500730623,NA,NA,NA,NA,NA,NA,NA
stock100433,0.5436346586760832,0.24183115687846296,NA,NA,NA,1,NA,NA,NA
stock100583,0.5407185471383017,0.29916239649210213,NA,NA,NA,NA,NA,NA,NA
stock101653,0.5229333275393009,0.18041789939778072,NA,1,1,NA,1,1,NA
stock102724,0.5199324450126699,0.2861032981455593,NA,NA,NA,NA,NA,NA,NA
stock101204,0.5190130769035554,0.2821697025284266,NA,NA,NA,NA,NA,NA,NA
stock100960,0.5078267845526302,0.3120779035577967,NA,NA,NA,NA,NA,NA,NA
stock100122,0.4903230529176489,0.21021947571349053,NA,NA,NA,NA,NA,NA,NA
stock101968,0.49029465532202904,0.25759587626220093,NA,NA,NA,NA,NA,NA,NA
stock102109,0.48641318467444455,0.1792284307162075,NA,NA,1,NA,1,1,NA
stock100101,0.4854443327724651,0.23552159019565244,NA,NA,NA,NA,NA,NA,NA
stock100991,0.4833723361309392,0.18783716563227584,NA,NA,NA,NA,NA,NA,NA
stock102643,0.4825243452270534,0.279314892580253,1,NA,NA,NA,NA,NA,NA
stock103447,0.46540517014197474,0.33486238417304104,NA,NA,NA,NA,NA,NA,NA
stock101220,0.46301334767086283,0.25001546530018026,NA,NA,NA,NA,NA,NA,NA
stock102468,0.4486140481204574,0.3106892381035352,NA,NA,NA,NA,NA,NA,NA
stock100103,0.44538063024204816,0.23153086033802883,NA,NA,NA,NA,NA,NA,NA
stock100214,0.44092691941022155,0.19423990846385172,NA,NA,1,1,1,1,NA
stock101150,0.4388444783058216,0.2946642075756142,NA,NA,NA,NA,NA,NA,NA
stock100648,0.43734885696774006,0.18059687196434143,1,1,1,1,1,1,NA
stock100062,0.42662414837498286,0.308560479005882,NA,NA,NA,NA,NA,NA,NA
stock100618,0.4257482309612113,0.2838816731487217,NA,NA,NA,NA,NA,NA,NA
stock103376,0.4245411266063117,0.2287475775157203,NA,NA,NA,1,NA,NA,NA
stock102497,0.4182855773865879,0.2732696302088844,NA,NA,NA,NA,NA,NA,NA
stock103401,0.4181032715295085,0.1821191301394876,NA,NA,NA,NA,NA,NA,NA
