code,group
stock100002,3
stock100004,2
stock100005,3
stock100007,1
stock100011,3
stock100017,2
stock100018,3
stock100023,2
stock100024,1
stock100029,2
stock100033,1
stock100037,3
stock100056,3
stock100060,3
stock100072,1
stock100073,1
stock100074,3
stock100080,2
stock100089,1
stock100093,3
stock100102,1
stock100105,1
stock100106,3
stock100113,1
stock100114,2
stock100117,3
stock100118,3
stock100124,1
stock100125,1
stock100128,2
stock100133,2
stock100134,2
stock100136,2
stock100137,1
stock100151,1
stock100158,2
stock100160,1
stock100161,2
stock100172,3
stock100173,1
stock100179,2
stock100183,2
stock100184,3
stock100188,2
stock100193,2
stock100201,3
stock100207,3
stock100212,3
stock100216,3
stock100219,3
stock100220,1
stock100231,2
stock100250,2
stock100251,2
stock100252,1
stock100253,3
stock100258,2
stock100259,1
stock100268,3
stock100270,3
stock100277,1
stock100279,1
stock100280,1
stock100281,3
stock100283,2
stock100285,3
stock100286,3
stock100290,3
stock100295,3
stock100297,1
stock100298,1
stock100309,3
stock100314,2
stock100315,3
stock100324,1
stock100328,3
stock100329,2
stock100345,1
stock100348,3
stock100359,2
stock100366,2
stock100367,3
stock100368,3
stock100374,3
stock100380,1
stock100382,2
stock100388,2
stock100391,1
stock100398,2
stock100399,1
stock100400,2
stock100401,3
stock100403,2
stock100404,3
stock100407,2
stock100410,2
stock100413,3
stock100422,3
stock100427,2
stock100430,1
stock100435,1
stock100436,1
stock100441,3
stock100445,3
stock100447,1
stock100448,1
stock100451,3
stock100456,1
stock100457,2
stock100463,3
stock100470,1
stock100471,1
stock100475,2
stock100493,1
stock100495,1
stock100499,1
stock100507,3
stock100509,2
stock100511,1
stock100513,3
stock100515,3
stock100518,1
stock100529,1
stock100533,1
stock100543,2
stock100550,3
stock100554,2
stock100565,1
stock100573,1
stock100579,3
stock100580,1
stock100581,1
stock100586,3
stock100588,3
stock100589,1
stock100592,2
stock100596,1
stock100604,3
stock100611,3
stock100615,1
stock100617,2
stock100624,1
stock100627,3
stock100628,3
stock100629,3
stock100637,3
stock100641,2
stock100642,2
stock100644,3
stock100651,3
stock100653,1
stock100660,3
stock100662,3
stock100676,2
stock100685,1
stock100689,3
stock100691,1
stock100701,2
stock100710,1
stock100717,2
stock100718,3
stock100721,1
stock100723,2
stock100728,1
stock100732,2
stock100736,2
stock100743,2
stock100747,3
stock100750,2
stock100754,2
stock100755,3
stock100762,3
stock100763,2
stock100766,2
stock100767,3
stock100770,2
stock100772,1
stock100775,3
stock100776,1
stock100783,1
stock100786,1
stock100787,2
stock100792,1
stock100796,3
stock100803,2
stock100806,2
stock100807,1
stock100810,2
stock100811,1
stock100813,1
stock100818,1
stock100820,3
stock100821,1
stock100823,1
stock100830,2
stock100837,2
stock100839,3
stock100843,2
stock100847,1
stock100850,2
stock100853,3
stock100863,1
stock100874,2
stock100877,1
stock100879,3
stock100894,3
stock100898,3
stock100902,1
stock100907,2
stock100908,2
stock100919,2
stock100922,1
stock100925,1
stock100934,3
stock100935,3
stock100937,3
stock100943,1
stock100944,2
stock100947,1
stock100949,1
stock100950,1
stock100954,3
stock100958,3
stock100964,2
stock100968,1
stock100972,1
stock100979,3
stock100983,2
stock100984,3
stock100986,2
stock100989,3
stock100990,3
stock100992,2
stock100997,3
stock100998,1
stock101004,1
stock101010,3
stock101016,3
stock101017,1
stock101033,3
stock101045,2
stock101058,3
stock101059,1
stock101060,1
stock101063,1
stock101067,2
stock101070,3
stock101073,1
stock101078,2
stock101081,2
stock101087,2
stock101091,3
stock101094,2
stock101095,3
