code,hclus_tag
stock100002,1
stock100004,1
stock100005,1
stock100007,1
stock100011,1
stock100017,1
stock100018,1
stock100023,1
stock100024,1
stock100029,1
stock100033,1
stock100037,2
stock100056,1
stock100060,3
stock100072,1
stock100073,3
stock100074,4
stock100080,2
stock100089,1
stock100093,1
stock100102,1
stock100105,3
stock100106,3
stock100113,1
stock100114,2
stock100117,1
stock100118,1
stock100124,5
stock100125,1
stock100128,1
stock100133,1
stock100134,1
stock100136,1
stock100137,1
stock100151,1
stock100158,1
stock100160,1
stock100161,1
stock100172,2
stock100173,1
stock100179,4
stock100183,1
stock100184,1
stock100188,1
stock100193,1
stock100201,1
stock100207,1
stock100212,1
stock100216,1
stock100219,1
stock100220,3
stock100231,5
stock100250,1
stock100251,1
stock100252,1
stock100253,1
stock100258,3
stock100259,1
stock100268,1
stock100270,1
stock100277,1
stock100279,1
stock100280,2
stock100281,1
stock100283,1
stock100285,4
stock100286,2
stock100290,1
stock100295,1
stock100297,1
stock100298,3
stock100309,1
stock100314,1
stock100315,1
stock100324,1
stock100328,3
stock100329,3
stock100345,3
stock100348,1
stock100359,1
stock100366,5
stock100367,1
stock100368,1
stock100374,1
stock100380,1
stock100382,1
stock100388,1
stock100391,1
stock100398,1
stock100399,1
stock100400,1
stock100401,3
stock100403,1
stock100404,1
stock100407,4
stock100410,2
stock100413,3
stock100422,1
stock100427,5
stock100430,2
stock100435,3
stock100436,1
stock100441,1
stock100445,1
stock100447,1
stock100448,4
stock100451,1
stock100456,3
stock100457,1
stock100463,4
stock100470,1
stock100471,1
stock100475,1
stock100493,5
stock100495,1
stock100499,2
stock100507,1
stock100509,1
stock100511,1
stock100513,3
stock100515,3
stock100518,2
stock100529,1
stock100533,2
stock100543,1
stock100550,1
stock100554,1
stock100565,2
stock100573,1
stock100579,1
stock100580,1
stock100581,1
stock100586,1
stock100588,1
stock100589,3
stock100592,2
stock100596,1
stock100604,1
stock100611,1
stock100615,1
stock100617,1
stock100624,1
stock100627,2
stock100628,5
stock100629,1
stock100637,3
stock100641,1
stock100642,1
stock100644,2
stock100651,3
stock100653,4
stock100660,1
stock100662,1
stock100676,1
stock100685,1
stock100689,5
stock100691,1
stock100701,1
stock100710,3
stock100717,2
stock100718,1
stock100721,3
stock100723,1
stock100728,1
stock100732,1
stock100736,3
stock100743,1
stock100747,4
stock100750,2
stock100754,1
stock100755,1
stock100762,2
stock100763,1
stock100766,3
stock100767,4
stock100770,4
stock100772,3
stock100775,1
stock100776,1
stock100783,1
stock100786,1
stock100787,1
stock100792,1
stock100796,1
stock100803,1
stock100806,1
stock100807,2
stock100810,1
stock100811,3
stock100813,5
stock100818,1
stock100820,1
stock100821,1
stock100823,1
stock100830,1
stock100837,3
stock100839,2
stock100843,1
stock100847,2
stock100850,1
stock100853,4
stock100863,3
stock100874,2
stock100877,5
stock100879,1
stock100894,1
stock100898,3
stock100902,1
stock100907,1
stock100908,1
stock100919,4
stock100922,1
stock100925,1
stock100934,3
stock100935,3
stock100937,5
stock100943,3
stock100944,1
stock100947,2
stock100949,2
stock100950,4
stock100954,1
stock100958,1
stock100964,1
stock100968,1
stock100972,4
stock100979,4
stock100983,1
stock100984,4
stock100986,1
stock100989,2
stock100990,1
stock100992,1
stock100997,1
stock100998,5
stock101004,1
stock101010,1
stock101016,4
stock101017,1
stock101033,3
stock101045,5
stock101058,1
stock101059,2
stock101060,1
stock101063,1
stock101067,1
stock101070,1
stock101073,3
stock101078,1
stock101081,1
stock101087,1
stock101091,1
stock101094,1
stock101095,1
stock101099,2
stock101101,3
stock101102,1
stock101104,1
stock101109,3
stock101115,1
stock101117,3
stock101119,2
stock101126,1
stock101128,3
stock101142,5
stock101153,1
stock101154,1
stock101165,1
stock101168,3
stock101176,1
stock101178,1
stock101184,1
stock101186,1
stock101196,2
stock101201,1
stock101202,3
stock101216,5
stock101227,5
stock101231,1
stock101235,1
stock101237,1
stock101240,2
stock101241,1
stock101244,1
stock101251,3
stock101255,1
stock101260,4
stock101264,1
stock101265,1
stock101266,1
stock101270,1
stock101272,3
stock101277,1
stock101279,1
stock101284,1
stock101290,5
stock101298,3
stock101308,4
stock101309,1
stock101313,1
stock101317,3
stock101318,1
stock101324,2
stock101337,1
stock101340,1
stock101343,1
stock101345,1
stock101349,1
stock101350,1
stock101352,1
stock101356,1
stock101357,5
stock101364,1
stock101367,1
stock101369,3
stock101373,1
stock101381,1
stock101386,1
stock101388,1
stock101391,1
stock101396,1
stock101402,1
stock101405,1
stock101406,2
stock101412,2
stock101416,1
stock101417,4
stock101420,1
stock101430,3
stock101432,3
stock101446,1
stock101447,1
stock101460,2
stock101470,1
stock101472,4
stock101482,2
stock101484,2
stock101486,1
stock101487,1
stock101488,2
stock101491,3
stock101498,1
stock101503,1
stock101511,5
stock101514,1
stock101516,3
stock101522,1
stock101532,1
stock101537,3
stock101544,3
stock101550,1
stock101553,1
stock101564,3
stock101566,4
stock101567,1
stock101572,4
stock101575,1
stock101576,3
stock101581,1
stock101582,1
stock101592,4
stock101599,1
stock101603,1
stock101612,1
stock101634,1
stock101635,1
stock101636,3
stock101640,1
stock101649,1
stock101652,1
stock101656,4
stock101657,2
stock101662,5
stock101664,1
stock101665,1
stock101671,2
stock101672,3
stock101690,1
stock101694,1
stock101702,1
stock101706,4
stock101709,1
stock101718,1
stock101721,1
stock101722,4
stock101734,1
stock101735,1
stock101736,1
stock101743,4
stock101745,2
stock101747,1
stock101750,1
stock101754,1
stock101769,2
stock101774,1
stock101778,1
stock101780,1
stock101784,1
stock101787,1
stock101789,3
stock101800,3
stock101802,4
stock101803,1
stock101807,1
stock101808,1
stock101814,3
stock101815,1
stock101819,4
stock101825,1
stock101833,1
stock101842,4
stock101859,1
stock101863,2
stock101864,2
stock101869,1
stock101875,4
stock101876,1
stock101880,1
stock101881,3
stock101885,1
stock101894,1
stock101897,5
stock101904,1
stock101906,1
stock101919,1
stock101921,1
stock101922,2
stock101928,3
stock101938,3
stock101942,1
stock101944,1
stock101950,1
stock101952,5
stock101954,1
stock101957,3
stock101962,1
stock101964,3
stock101970,1
stock101971,1
stock101984,1
stock101986,3
stock101987,2
stock101988,4
stock101989,1
stock101990,4
stock101993,2
stock101994,5
stock102006,2
stock102008,3
stock102011,1
stock102012,4
stock102023,1
stock102027,1
stock102037,1
stock102039,1
stock102040,5
stock102041,1
stock102042,3
stock102044,5
stock102045,1
stock102047,5
stock102048,1
stock102051,1
stock102052,2
stock102057,1
stock102063,2
stock102069,1
stock102076,1
stock102077,3
stock102087,1
stock102096,1
stock102099,1
stock102103,1
stock102105,1
stock102111,1
stock102113,1
stock102116,3
stock102119,1
stock102122,1
stock102123,1
stock102125,1
stock102134,1
stock102135,2
stock102146,1
stock102147,1
stock102149,1
stock102157,2
stock102161,5
stock102162,5
stock102164,1
stock102165,1
stock102170,1
stock102173,2
stock102175,1
stock102178,4
stock102179,1
stock102181,1
stock102185,1
stock102187,1
stock102193,3
stock102194,2
stock102195,1
stock102206,2
stock102209,1
stock102224,2
stock102231,5
stock102234,1
stock102240,2
stock102247,1
stock102257,1
stock102258,1
stock102260,1
stock102262,1
stock102270,2
stock102276,1
stock102278,1
stock102285,1
stock102286,1
stock102289,1
stock102295,1
stock102302,1
stock102308,2
stock102314,1
stock102329,2
stock102336,1
stock102338,2
stock102339,2
stock102341,2
stock102343,1
stock102344,1
stock102345,1
stock102348,1
stock102350,1
stock102352,4
stock102364,1
stock102369,2
stock102380,1
stock102383,1
stock102405,1
stock102413,1
stock102416,2
stock102417,3
stock102420,4
stock102435,3
stock102441,2
stock102442,1
stock102445,1
stock102448,3
stock102449,1
stock102450,3
stock102458,1
stock102466,1
stock102470,3
stock102471,1
stock102473,1
stock102474,2
stock102476,1
stock102477,2
stock102478,1
stock102480,5
stock102483,1
stock102484,4
stock102486,2
stock102488,2
stock102493,5
stock102499,1
stock102500,1
stock102508,2
stock102511,2
stock102514,1
stock102515,4
stock102528,1
stock102529,4
stock102531,1
stock102541,1
stock102546,3
stock102547,5
stock102550,1
stock102553,4
stock102559,3
