code,n_miss
stock100002,0
stock100004,38
stock100005,15
stock100007,0
stock100011,67
stock100017,0
stock100018,0
stock100023,3
stock100024,0
stock100029,10
stock100033,43
stock100037,210
stock100038,482
stock100048,466
stock100056,69
stock100060,18
stock100063,473
stock100072,29
stock100073,162
stock100074,3
stock100080,146
stock100089,0
stock100091,300
stock100093,8
stock100102,7
stock100105,8
stock100106,13
stock100113,136
stock100114,84
stock100117,19
stock100118,16
stock100124,138
stock100125,10
stock100128,15
stock100133,0
stock100134,50
stock100136,37
stock100137,27
stock100151,0
stock100158,128
stock100160,10
stock100161,13
stock100172,270
stock100173,67
stock100179,21
stock100183,30
stock100184,97
stock100188,0
stock100193,2
stock100201,96
stock100205,317
stock100207,4
stock100212,7
stock100216,49
stock100219,3
stock100220,6
stock100231,106
stock100250,0
stock100251,153
stock100252,35
stock100253,0
stock100258,93
stock100259,148
stock100267,350
stock100268,9
stock100270,18
stock100271,296
stock100274,350
stock100277,10
stock100279,39
stock100280,248
stock100281,14
stock100282,279
stock100283,174
stock100285,19
stock100286,249
stock100290,0
stock100295,15
stock100297,0
stock100298,138
stock100309,0
stock100314,43
stock100315,2
stock100322,402
stock100324,0
stock100328,50
stock100329,139
stock100345,166
stock100348,3
stock100359,12
stock100365,402
stock100366,72
stock100367,0
stock100368,0
stock100374,10
stock100380,46
stock100382,26
stock100388,6
stock100391,49
stock100398,12
stock100399,58
stock100400,133
stock100401,147
stock100403,135
stock100404,29
stock100407,1
stock100410,190
stock100413,3
stock100422,56
stock100427,155
stock100430,72
stock100435,6
stock100436,99
stock100441,71
stock100445,4
stock100447,168
stock100448,198
stock100451,77
stock100456,121
stock100457,0
stock100463,0
stock100465,393
stock100470,0
stock100471,23
stock100475,43
stock100493,170
stock100495,10
stock100499,166
stock100507,116
stock100509,0
stock100511,27
stock100513,86
stock100515,124
stock100517,341
stock100518,110
stock100529,0
stock100533,145
stock100543,0
stock100550,18
stock100554,84
stock100565,87
stock100573,15
stock100579,7
stock100580,4
stock100581,13
stock100586,0
stock100588,1
stock100589,66
stock100592,218
stock100596,68
stock100604,127
stock100611,33
stock100615,0
stock100617,9
stock100624,23
stock100627,185
stock100628,109
stock100629,3
stock100637,214
stock100641,56
stock100642,0
stock100644,119
stock100651,74
stock100653,0
stock100660,1
stock100662,152
stock100665,290
stock100676,136
stock100685,65
stock100689,78
stock100691,0
stock100701,3
stock100710,6
stock100717,105
stock100718,5
stock100721,199
stock100723,0
stock100728,5
stock100732,168
stock100736,153
stock100743,91
stock100747,0
stock100750,111
stock100754,62
stock100755,18
stock100756,316
stock100762,230
stock100763,4
stock100766,50
stock100767,15
stock100769,448
stock100770,146
stock100772,211
stock100775,91
stock100776,55
stock100780,318
stock100783,166
stock100786,256
stock100787,2
stock100792,0
stock100796,64
stock100803,87
stock100806,5
stock100807,132
stock100810,84
stock100811,152
stock100813,87
stock100814,361
stock100818,12
stock100820,37
stock100821,20
stock100823,13
stock100825,483
stock100830,24
stock100837,16
stock100839,225
stock100843,34
stock100847,137
stock100850,6
stock100853,0
stock100854,420
stock100861,457
stock100863,82
stock100867,298
stock100874,230
stock100877,225
stock100879,23
stock100886,384
stock100894,28
stock100897,472
stock100898,56
stock100902,13
stock100907,95
stock100908,10
stock100919,12
stock100922,23
stock100924,274
stock100925,5
stock100934,16
stock100935,0
stock100937,143
stock100943,109
stock100944,1
stock100947,81
stock100949,96
stock100950,0
stock100954,63
stock100958,5
stock100964,10
stock100968,29
stock100972,0
stock100976,355
stock100979,0
stock100983,84
stock100984,17
stock100986,16
stock100989,244
stock100990,67
stock100992,5
stock100997,70
stock100998,71
stock101004,0
stock101010,50
stock101016,90
stock101017,17
stock101033,2
stock101045,77
stock101052,305
stock101058,0
stock101059,201
stock101060,62
stock101063,71
stock101067,96
stock101070,4
stock101073,69
stock101078,76
stock101081,25
stock101087,4
stock101091,0
stock101092,350
stock101094,44
stock101095,4
stock101099,131
stock101101,154
stock101102,40
stock101104,11
stock101109,0
stock101115,142
stock101117,87
stock101119,164
stock101123,445
stock101126,8
stock101128,134
stock101142,206
stock101151,421
stock101153,38
stock101154,0
stock101165,0
stock101168,0
stock101176,23
stock101178,0
stock101184,0
stock101186,28
stock101196,98
stock101201,32
stock101202,142
stock101208,482
stock101216,82
stock101221,363
stock101222,337
stock101227,91
stock101228,484
stock101231,0
stock101235,22
stock101237,97
stock101240,87
stock101241,124
stock101244,2
