n_miss,n,cumsum_miss
0,132,0.14072494669509594
1,16,0.15778251599147122
2,15,0.17377398720682302
3,10,0.18443496801705758
4,20,0.20575692963752665
5,19,0.2260127931769723
6,14,0.24093816631130063
7,6,0.24733475479744135
8,16,0.26439232409381663
9,5,0.2697228144989339
10,19,0.2899786780383795
11,7,0.2974413646055437
12,11,0.3091684434968017
13,12,0.32196162046908317
14,9,0.3315565031982942
15,13,0.34541577825159914
16,7,0.35287846481876334
17,3,0.35607675906183367
18,7,0.36353944562899787
19,2,0.3656716417910448
20,11,0.3773987206823028
21,3,0.3805970149253731
22,5,0.3859275053304904
23,9,0.39552238805970147
24,6,0.40191897654584224
25,4,0.40618336886993606
26,5,0.4115138592750533
27,4,0.4157782515991471
28,6,0.42217484008528783
29,4,0.42643923240938164
30,2,0.42857142857142855
31,2,0.43070362473347545
32,6,0.43710021321961623
33,6,0.44349680170575695
34,3,0.4466950959488273
35,3,0.44989339019189767
36,1,0.4509594882729211
37,4,0.4552238805970149
38,6,0.4616204690831556
39,3,0.464818763326226
40,5,0.4701492537313433
41,3,0.47334754797441364
42,1,0.4744136460554371
43,5,0.47974413646055436
44,4,0.4840085287846482
45,1,0.48507462686567165
46,1,0.4861407249466951
49,3,0.48933901918976547
50,4,0.4936034115138593
51,1,0.4946695095948827
52,3,0.4978678038379531
53,2,0.5
54,4,0.5042643923240938
55,2,0.5063965884861408
56,4,0.5106609808102346
57,1,0.511727078891258
58,3,0.5149253731343284
59,2,0.5170575692963753
60,5,0.5223880597014925
61,4,0.5266524520255863
62,6,0.5330490405117271
63,2,0.535181236673774
64,3,0.5383795309168443
65,3,0.5415778251599147
66,3,0.5447761194029851
67,4,0.5490405117270789
68,2,0.5511727078891258
69,4,0.5554371002132196
70,5,0.5607675906183369
71,6,0.5671641791044776
72,2,0.5692963752665245
73,1,0.570362473347548
74,2,0.5724946695095949
75,3,0.5756929637526652
76,3,0.5788912579957356
77,5,0.5842217484008528
78,3,0.5874200426439232
79,2,0.5895522388059702
80,1,0.5906183368869936
81,2,0.5927505330490405
82,3,0.5959488272921108
83,1,0.5970149253731343
84,4,0.6012793176972282
85,3,0.6044776119402985
86,4,0.6087420042643923
87,8,0.6172707889125799
88,1,0.6183368869936035
89,1,0.6194029850746269
90,6,0.6257995735607675
91,6,0.6321961620469083
92,3,0.6353944562899787
93,5,0.6407249466950959
94,2,0.6428571428571429
95,5,0.6481876332622601
96,5,0.6535181236673774
97,7,0.6609808102345416
98,2,0.6631130063965884
99,1,0.664179104477612
101,1,0.6652452025586354
103,2,0.6673773987206824
105,3,0.6705756929637526
106,1,0.6716417910447762
107,1,0.6727078891257996
108,1,0.673773987206823
109,4,0.6780383795309168
110,4,0.6823027718550106
111,2,0.6844349680170576
112,1,0.685501066098081
115,2,0.6876332622601279
116,4,0.6918976545842217
117,3,0.6950959488272921
118,3,0.6982942430703625
119,4,0.7025586353944563
120,1,0.7036247334754797
121,4,0.7078891257995735
122,2,0.7100213219616205
123,1,0.7110874200426439
124,2,0.7132196162046909
125,1,0.7142857142857143
126,1,0.7153518123667377
127,5,0.720682302771855
